location,lat,lon,location_veg_class,product,triplet,anomaly,n,snr,r,err_std,beta
840296,55.875,14.125,Mixed Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,228,-8.272849830619023,1.0665353641248403,0.048818004914481794,0.00225517410959404
840296,55.875,14.125,Mixed Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,228,5.1840533729227145,0.915583837261986,0.01036895206095901,0.41653487840882375
893599,65.125,19.875,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,387,-2.0699076437426425,1.3909205993685154,0.02132638752170949,1.0
893599,65.125,19.875,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,387,-2.050438016777413,1.3971341467151344,0.02127863745634965,0.002442141924365043
893599,65.125,19.875,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,387,3.38189721059529,0.8785148537743598,0.011384843205335924,0.6285695451981789
870545,61.125,16.375,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,98,-12.168898118392208,1.043807619738091,0.017697133305396632,1.0
870545,61.125,16.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,98,,,,0.00030931007588487383
870545,61.125,16.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,98,-9.889821585307688,1.0547455602179323,0.013612851145949859,0.3358993403162921
883492,63.375,13.125,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,82,-4.5436616793798565,1.132340046961793,0.017024839804332927,1.0
883492,63.375,13.125,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,82,,,,
